Ns_diag,cutoff,tail_probability,eta_s,eta_i,Gamma,Fq_fock,local_variance,qzzb_bound,guard_ratio,phase_wrapping_probability,Geff_analytic_envelope,classification
1.5,8,0.016796159999999994,0.2,0.9,0.75,0.3388206042251998,2.9514143695208754,0.5926113961834797,0.20078895132562583,0.06744941346551565,0.34732834760368725,stop-extrapolation
1.5,8,0.016796159999999994,0.30000000000000004,0.9,0.75,0.44630086240824307,2.2406409761432946,0.5593885610448346,0.2496555972156158,0.035837654555104834,0.380940768339528,stop-extrapolation
1.5,8,0.016796159999999994,0.4,0.9,0.75,0.5323681199935428,1.87839948044246,0.5357597777342262,0.2852214256405284,0.021893074572938213,0.4217558506616203,stop-extrapolation
1.5,8,0.016796159999999994,0.5,0.9,0.75,0.6035177313868914,1.6569521457173884,0.5177475957592416,0.31246985442363473,0.014663277489871354,0.4723665527410147,stop-extrapolation
1.5,8,0.016796159999999994,0.6000000000000001,0.9,0.75,0.6637522262954014,1.5065862838325943,0.5033877640972941,0.33412474910944334,0.010482688302657943,0.5367801735693349,stop-extrapolation
1.5,8,0.016796159999999994,0.7,0.9,0.75,0.7157357963984424,1.3971635972826357,0.4915623698359872,0.351828784254066,0.007864691986582932,0.6215349378171245,stop-extrapolation
1.5,8,0.016796159999999994,0.8,0.9,0.75,0.7613862455049843,1.3133938338178892,0.4815636241085791,0.3666559197318046,0.0061201518746058226,0.7380727386578355,stop-extrapolation
1.5,8,0.016796159999999994,0.9000000000000001,0.9,0.75,0.8022621800472333,1.2464753105289408,0.4728828932999965,0.37937606088589837,0.004894506999112978,0.9083972168096439,stop-extrapolation
1.5,8,0.016796159999999994,1.0,0.9,0.75,0.8399764725118082,1.1905095353559945,0.4650458581399223,0.39062757947659865,0.003985881949878217,1.1809163818525368,local-valid
1.5,8,0.016796159999999994,0.2,0.9,1.125,0.2254710378162908,4.435159431939013,0.6338299382693544,0.14291029398062688,0.13576540939617188,0.23871504952819833,stop-extrapolation
1.5,8,0.016796159999999994,0.30000000000000004,0.9,1.125,0.29437918098451793,3.3969793538239115,0.6074415078364244,0.17881813357288723,0.08828301758075306,0.261816505934153,stop-extrapolation
1.5,8,0.016796159999999994,0.4,0.9,1.125,0.34874333469217494,2.867438315007997,0.5888173147875916,0.20534611388351678,0.06356029657202449,0.289868274427098,stop-extrapolation
1.5,8,0.016796159999999994,0.5,0.9,1.125,0.3931365308325041,2.5436455825725597,0.5747039074257785,0.22593710042125514,0.04886158776670394,0.32465246735834974,stop-extrapolation
