Ns_diag,cutoff,tail_probability,eta_s,eta_i,gamma,Fq_fock,Fq_coherent,advantage_ratio_fock,covariance_purity,epr_correlation_strength,ideal_idler_analytic_ratio
1.5,8,0.016796159999999994,0.8400000000000001,0.44,0.0,2.541763700929508,5.040000000000001,0.5043181946288706,0.38133007931665625,3.329864862122786,1.6891891891891895
1.5,8,0.016796159999999994,0.9199999999999999,0.44,0.0,2.7715909344022327,5.52,0.5020998069569262,0.3771876885938442,3.4848242423399203,2.016129032258064
1.5,8,0.016796159999999994,1.0,0.44,0.0,3.005665563544018,6.0,0.5009442605906697,0.37313432835820876,3.63318042491699,2.5
1.5,8,0.016796159999999994,0.2,0.52,0.0,0.7460614562274687,1.2000000000000002,0.6217178801895571,0.39432176656151413,1.7663521732655694,0.7352941176470588
1.5,8,0.016796159999999994,0.28,0.52,0.0,1.0390324415322154,1.6800000000000002,0.6184716913882234,0.3958201393286889,2.0899760764181012,0.7911392405063291
1.5,8,0.016796159999999994,0.36,0.52,0.0,1.3309843882039096,2.16,0.6161964760203285,0.39732994278448813,2.3698101189757796,0.8561643835616438
1.5,8,0.016796159999999994,0.44,0.52,0.0,1.622880498197491,2.64,0.6147274614384435,0.39885130823229087,2.6199236630100504,0.9328358208955223
1.5,8,0.016796159999999994,0.52,0.52,0.0,1.9155635625924445,3.12,0.6139626803180912,0.40038436899423463,2.848157299026864,1.0245901639344261
1.5,8,0.016796159999999994,0.6000000000000001,0.52,0.0,2.2097562910412107,3.6000000000000005,0.6138211919558918,0.40192926045016075,3.0594117081556713,1.1363636363636365
1.5,8,0.016796159999999994,0.6799999999999999,0.52,0.0,2.506288096079422,4.08,0.6142862980586818,0.4034861200774693,3.256992477731565,1.2755102040816326
1.5,8,0.016796159999999994,0.76,0.52,0.0,2.806199879155046,4.5600000000000005,0.6153947103410188,0.4050550874918988,3.443254274665175,1.4534883720930232
1.5,8,0.016796159999999994,0.8400000000000001,0.52,0.0,3.1107390578737064,5.040000000000001,0.6172101305304972,0.40663630448926485,3.6199447509596054,1.6891891891891895
1.5,8,0.016796159999999994,0.9199999999999999,0.52,0.0,3.4214890245859353,5.52,0.6198349682220897,0.40822991508817785,3.788403357616504,2.016129032258064
1.5,8,0.016796159999999994,1.0,0.52,0.0,3.740334452470262,6.0,0.6233890754117103,0.4098360655737708,3.9496835316263,2.5
1.5,8,0.016796159999999994,0.2,0.6000000000000001,0.0,0.8291690658677165,1.2000000000000002,0.6909742215564304,0.373134328358209,1.897366596101028,0.7352941176470588
1.5,8,0.016796159999999994,0.28,0.6000000000000001,0.0,1.1656650246996723,1.6800000000000002,0.6938482289879001,0.37993920972644374,2.2449944320643653,0.7911392405063291
1.5,8,0.016796159999999994,0.36,0.6000000000000001,0.0,1.5072521945111914,2.16,0.6978019419033293,0.3869969040247678,2.5455844122715714,0.8561643835616438
1.5,8,0.016796159999999994,0.44,0.6000000000000001,0.0,1.8549798565441327,2.64,0.7026438850545956,0.3943217665615142,2.814249455894058,0.9328358208955223
1.5,8,0.016796159999999994,0.52,0.6000000000000001,0.0,2.2097562910412134,3.12,0.7082552214875684,0.40192926045016086,3.0594117081556713,1.0245901639344261
1.5,8,0.016796159999999994,0.6000000000000001,0.6000000000000001,0.0,2.5726694510145354,3.6000000000000005,0.714630403059593,0.40983606557377034,3.286335345030997,1.1363636363636365
1.5,8,0.016796159999999994,0.6799999999999999,0.6000000000000001,0.0,2.945017232216597,4.08,0.7218179490726954,0.41806020066889643,3.4985711369071804,1.2755102040816326
1.5,8,0.016796159999999994,0.76,0.6000000000000001,0.0,3.3282022254217987,4.5600000000000005,0.7298689090837277,0.4266211604095567,3.6986484017813868,1.4534883720930232
1.5,8,0.016796159999999994,0.8400000000000001,0.6000000000000001,0.0,3.7238320274792347,5.040000000000001,0.7388555610077845,0.43554006968641135,3.888444419044717,1.6891891891891895
1.5,8,0.016796159999999994,0.9199999999999999,0.6000000000000001,0.0,4.133693180462129,5.52,0.7488574602286466,0.4448398576512456,4.069397989875161,2.016129032258064
1.5,8,0.016796159999999994,1.0,0.6000000000000001,0.0,4.5590850348843786,6.0,0.7598475058140631,0.4545454545454551,4.242640687119286,2.5
1.5,8,0.016796159999999994,0.2,0.6799999999999999,0.0,0.9071993084045187,1.2000000000000002,0.7559994236704322,0.35410764872521244,2.0199009876724157,0.7352941176470588
1.5,8,0.016796159999999994,0.28,0.6799999999999999,0.0,1.2868276758146269,1.6800000000000002,0.7659688546515635,0.3652834599649328,2.389979079406345,0.7911392405063291
1.5,8,0.016796159999999994,0.36,0.6799999999999999,0.0,1.6789465213531238,2.16,0.7772900561820018,0.37718768859384416,2.7099815497526913,0.8561643835616438
