Ns,a,eta_s,gamma_max,GQ
10.0,0.5,0.9356783919597991,3.80247985325122,6.694189602446486
10.0,0.5,0.9396984924623117,3.852017989476039,6.862068965517249
10.0,0.5,0.9437185929648242,3.9028143706872584,7.038585209003219
10.0,0.5,0.9477386934673369,3.95493458402699,7.224422442244233
10.0,0.5,0.9517587939698493,4.008449482366087,7.420338983050851
10.0,0.5,0.955778894472362,4.063435763526486,7.627177700348441
10.0,0.5,0.9597989949748744,4.119976631402995,7.84587813620072
10.0,0.5,0.9638190954773871,4.1781625532863265,8.077490774907758
10.0,0.5,0.9678391959798995,4.238092130690197,8.323193916349812
10.0,0.5,0.9718592964824122,4.299873104728876,8.584313725490206
10.0,0.5,0.9758793969849247,4.363623521789772,8.862348178137655
10.0,0.5,0.9798994974874373,4.4294730911827065,9.158995815899592
10.0,0.5,0.9839195979899498,4.497564774002139,9.476190476190478
10.0,0.5,0.9879396984924624,4.568056652125491,9.816143497757858
10.0,0.5,0.9919597989949749,4.6411241387904,10.18139534883721
10.0,0.5,0.9959798994974876,4.71696260851499,10.574879227053152
10.0,0.5,1.0,4.795790545596741,11.0
10.0,1.0,0.2,0.20067069546215124,1.2222222222222223
10.0,1.0,0.20402010050251257,0.2051474796597226,1.2277061132922042
10.0,1.0,0.20804020100502513,0.20964439561334663,1.2332394366197181
10.0,1.0,0.2120603015075377,0.21416162520316676,1.2388228636106398
10.0,1.0,0.21608040201005027,0.21869935278530478,1.244457077885162
10.0,1.0,0.22010050251256283,0.22325776523701105,1.2501427755568246
10.0,1.0,0.2241206030150754,0.22783705200284193,1.2558806655192196
10.0,1.0,0.22814070351758794,0.2324374051419035,1.2616714697406342
10.0,1.0,0.23216080402010053,0.23705901937618445,1.2675159235668791
10.0,1.0,0.2361809045226131,0.24170209214001373,1.2734147760325771
10.0,1.0,0.24020100502512565,0.24636682363066942,1.2793687901811805
10.0,1.0,0.2442211055276382,0.25105341686017457,1.2853787433940105
10.0,1.0,0.24824120603015076,0.25576207770831233,1.2914454277286136
10.0,1.0,0.2522613065326633,0.26049301497689453,1.2975696502667455
10.0,1.0,0.2562814070351759,0.2652464404453222,1.303752233472305
10.0,1.0,0.26030150753768844,0.2700225689274692,1.309994015559545
10.0,1.0,0.264321608040201,0.2748216183299351,1.316295850871918
10.0,1.0,0.26834170854271355,0.27964380971169966,1.3226586102719033
10.0,1.0,0.27236180904522617,0.2844893673452228,1.3290831815421982
10.0,1.0,0.2763819095477387,0.2893585187790334,1.335570469798658
10.0,1.0,0.2804020100502513,0.29425149490184915,1.3421213979153894
10.0,1.0,0.28442211055276384,0.2991685300082716,1.348736906962415
10.0,1.0,0.2884422110552764,0.3041098618661061,1.355417956656347
10.0,1.0,0.29246231155778896,0.3090757317853502,1.3621655258245176
10.0,1.0,0.2964824120603015,0.31406638468890874,1.368980612883052
10.0,1.0,0.3005025125628141,0.319082069185076,1.3758642363293525
10.0,1.0,0.3045226130653267,0.3241230376418509,1.3828174352495264
10.0,1.0,0.30854271356783924,0.3291895462631295,1.3898412698412699
10.0,1.0,0.3125628140703518,0.3342818551668421,1.396936821952776
10.0,1.0,0.31658291457286436,0.3394002284650865,1.4041051956382298
10.0,1.0,0.3206030150753769,0.34454493434632405,1.4113475177304964
10.0,1.0,0.3246231155778895,0.3497162451597022,1.4186649384316268
10.0,1.0,0.32864321608040203,0.35491443750156554,1.4260586319218242
10.0,1.0,0.3326633165829146,0.36013979230423054,1.4335297969875573
10.0,1.0,0.33668341708542715,0.36539259492709014,1.4410796576695195
10.0,1.0,0.3407035175879397,0.3706731352501233,1.4487094639311713
10.0,1.0,0.34472361809045227,0.3759817077698885,1.4564204923486361
10.0,1.0,0.3487437185929648,0.3813186116980761,1.4642140468227425
10.0,1.0,0.3527638190954774,0.3866841510627078,1.472091459314055
10.0,1.0,0.35678391959798994,0.39207863481206306,1.4800540906017579
10.0,1.0,0.36080402010050255,0.39750237692142537,1.488103331067301
