eta,Gamma,G_eff,P_wrap
0.6731843575418994,0.16759776536312848,1.067554401462581,6.863830847107614e-11
0.7033519553072626,0.16759776536312848,1.1186758359990687,8.733699788954704e-12
0.7335195530726256,0.16759776536312848,1.1749395694457774,9.067875347083851e-13
0.7636871508379888,0.16759776536312848,1.2371625868534974,7.437102901408752e-14
0.7938547486033519,0.16759776536312848,1.3063446162184498,4.6309450460939396e-15
0.8240223463687151,0.16759776536312848,1.3837222497933634,2.0845420352776933e-16
0.8541899441340782,0.16759776536312848,1.4708435107597548,6.379463286758172e-18
0.8843575418994413,0.16759776536312848,1.569672481619597,1.2280031801076624e-19
0.9145251396648044,0.16759776536312848,1.6827391521497772,1.3450682533237028e-21
0.9446927374301676,0.16759776536312848,1.8133590575873741,7.352115126789842e-24
0.9748603351955307,0.16759776536312848,1.9659638198362852,1.682778747290825e-26
0.1,0.33519553072625696,0.4832420469260963,0.09071470197988953
0.13016759776536313,0.33519553072625696,0.4953586251031629,0.050694700298565334
0.16033519553072625,0.33519553072625696,0.5080984405130237,0.02806244801466951
0.19050279329608938,0.33519553072625696,0.5215108484261912,0.015285771266405573
0.22067039106145253,0.33519553072625696,0.5356505567851942,0.008152543670182132
0.2508379888268156,0.33519553072625696,0.5505783720611622,0.004239428951683575
0.2810055865921788,0.33519553072625696,0.5663620734014397,0.0021410092233683734
0.31117318435754193,0.33519553072625696,0.5830774415725152,0.0010459921876639082
0.34134078212290503,0.33519553072625696,0.6008094756507483,0.0004923556364200615
0.3715083798882681,0.33519553072625696,0.6196538386818076,0.000222328768188371
0.4016759776536313,0.33519553072625696,0.6397185842077825,9.586029686699328e-05
0.43184357541899443,0.33519553072625696,0.6611262294549753,3.92603373197994e-05
0.4620111731843576,0.33519553072625696,0.684016259198875,1.5185216467254467e-05
0.4921787709497206,0.33519553072625696,0.7085481684285002,5.510543169593933e-06
0.5223463687150838,0.33519553072625696,0.7349051841082745,1.862240449033758e-06
0.5525139664804469,0.33519553072625696,0.7632988496998654,5.81073465343325e-07
0.5826815642458101,0.33519553072625696,0.7939747151554294,1.657641095195375e-07
0.6128491620111731,0.33519553072625696,0.8272194563948141,4.2738989548080725e-08
0.6430167597765363,0.33519553072625696,0.863369861556929,9.826215105123521e-09
0.6731843575418994,0.33519553072625696,0.9028242811823797,1.9827884038733057e-09
