Ns_diag,cutoff,tail_probability,eta_s,eta_i,Gamma,Fq_fock,local_variance,qzzb_bound,qzzb_fidelity_convention,guard_ratio,phase_wrapping_probability,Geff_analytic_envelope,classification
1.5,8,0.016796159999999994,0.5,0.9,1.125,0.3931365308325037,2.5436455825725623,0.4844760112467952,squared_Uhlmann_fidelity_only,0.1904652183331341,0.04886158776670407,0.32465246735834974,stop-extrapolation
1.5,8,0.016796159999999994,0.6000000000000001,0.9,1.125,0.4303267432169255,2.3238156023594034,0.47019958801431233,squared_Uhlmann_fidelity_only,0.20233945737213913,0.039316148775047764,0.3689232583617611,stop-extrapolation
1.5,8,0.016796159999999994,0.7,0.9,1.125,0.46212691594310057,2.163907717773195,0.4586014789785879,squared_Uhlmann_fidelity_only,0.2119320871273195,0.032707782340365255,0.4271742991557233,stop-extrapolation
1.5,8,0.016796159999999994,0.8,0.9,1.125,0.48981676165466487,2.0415797871470747,0.4489127146857275,squared_Uhlmann_fidelity_only,0.21988497217296754,0.027899002454612076,0.5072694802474216,stop-extrapolation
1.5,8,0.016796159999999994,0.9000000000000001,0.9,1.125,0.5144024293272391,1.9440032608474447,0.44059800936299515,squared_Uhlmann_fidelity_only,0.22664468637307034,0.024246006613369276,0.6243316679968266,stop-extrapolation
1.5,8,0.016796159999999994,1.0,0.9,1.125,0.5368540191018754,1.8627037600890837,0.43319916073891085,squared_Uhlmann_fidelity_only,0.23256471051424363,0.021343346392998605,0.8116311683958743,stop-extrapolation
1.5,8,0.016796159999999994,0.2,0.9,1.5,0.15244063253145732,6.559930796624333,0.6068099777062371,squared_Uhlmann_fidelity_only,0.09250249682793829,0.2199758543993786,0.16406629422678662,stop-extrapolation
1.5,8,0.016796159999999994,0.30000000000000004,0.9,1.5,0.19808589612370567,5.0483149965179495,0.578088828857705,squared_Uhlmann_fidelity_only,0.114511243703382,0.16204591084430953,0.17994367753905632,stop-extrapolation
1.5,8,0.016796159999999994,0.4,0.9,1.5,0.23380207140917,4.2771220715573985,0.5581440016431012,squared_Uhlmann_fidelity_only,0.13049522372876024,0.1287481669624952,0.1992233572753838,stop-extrapolation
1.5,8,0.016796159999999994,0.5,0.9,1.5,0.26277903047924944,3.805478687459294,0.5432189234932525,squared_Uhlmann_fidelity_only,0.14274654205353848,0.10730128670732682,0.22313016014842982,stop-extrapolation
