nret,dark_rate_hz,background_rate_hz,gate_time_s,visibility,samples,max_classical_fi,phase_at_max_fi_rad,crlb_phase_variance,noise_counts_per_gate,sbr
0.0027825594022071257,25.0,0.0,1e-06,0.5,1,0.0007379335521183948,4.445353604829558,1355.135563533177,2.4999999999999998e-05,111.30237608828503
0.0027825594022071257,25.0,10.0,1e-06,0.5,1,0.0007349221170334376,4.445353604829558,1360.6884006111657,3.5e-05,79.50169720591788
0.0027825594022071257,25.0,100.0,1e-06,0.5,1,0.0007089490183789097,4.454778382790327,1410.5386622674373,0.000125,22.260475217657003
0.0027825594022071257,25.0,1000.0,1e-06,0.5,1,0.0005265781098983839,1.762433478663874,1899.0534950132553,0.0010249999999999999,2.714692099714269
0.0027825594022071257,100.0,0.0,1e-06,0.5,1,0.0007159644235247785,1.8315485170428496,1396.717444530107,9.999999999999999e-05,27.825594022071257
0.0027825594022071257,100.0,10.0,1e-06,0.5,1,0.0007131388559075772,4.454778382790327,1402.2514573649876,0.00010999999999999999,25.295994565519326
0.0027825594022071257,100.0,100.0,1e-06,0.5,1,0.0006887549031845742,4.461061568097507,1451.8952901479638,0.00019999999999999998,13.912797011035629
0.0027825594022071257,100.0,1000.0,1e-06,0.5,1,0.0005156745895592888,4.527035013822892,1939.2074386574495,0.0010999999999999998,2.529599456551933
0.0027825594022071257,1000.0,0.0,1e-06,0.5,1,0.0005303205975380218,1.762433478663874,1885.65182013,0.001,2.7825594022071254
0.0027825594022071257,1000.0,10.0,1e-06,0.5,1,0.0005288172369268424,1.762433478663874,1891.0124900833025,0.00101,2.755009309115966
0.0027825594022071257,1000.0,100.0,1e-06,0.5,1,0.0005156745895592888,4.527035013822892,1939.2074386574495,0.0010999999999999998,2.529599456551933
0.0027825594022071257,1000.0,1000.0,1e-06,0.5,1,0.0004136774155143814,1.718451181513617,2417.3425052865505,0.002,1.3912797011035627
0.007742636826811269,1.0,0.0,1e-06,0.5,1,0.0020743216677378577,1.8409732950036188,482.0853079602382,1e-06,7742.63682681127
0.007742636826811269,1.0,10.0,1e-06,0.5,1,0.0020712350514374015,1.8409732950036188,482.8037258765089,1.1e-05,703.8760751646608
0.007742636826811269,1.0,100.0,1e-06,0.5,1,0.0020438822018522336,1.837831702350029,489.2649875290107,0.000101,76.65977056248781
