phi_rad,classical_fi,mean_counts
0.35814156250923646,0.0033979705421103767,0.23871967829829063
0.36442474781641604,0.0035155337577908964,0.23853922657459972
0.3707079331235956,0.0036349518701619433,0.23835577788722961
0.3769911184307752,0.0037562151145413354,0.23816933947842042
0.3832743037379548,0.0038793135633232215,0.2379799187084412
0.3895574890451344,0.004004237126184731,0.2377875230552997
0.39584067435231396,0.00413097555029642,0.23759216011444684
0.40212385965949354,0.0042595184205365625,0.23739383759847693
0.4084070449666731,0.004389855159709263,0.23719256333682345
0.4146902302738527,0.004521975028766494,0.23698834527544954
0.4209734155810323,0.004655867127033984,0.2367811914765346
0.4272566008882119,0.004791520392441052,0.2365711101181559
0.43353978619539146,0.004928923601754397,0.23635810949396577
0.43982297150257105,0.005068065370815837,0.2361421980128641
0.44610615680975063,0.005208934154784079,0.23592338419866646
0.4523893421169302,0.005351518248380489,0.23570167668976763
0.4586725274241098,0.005495805786138949,0.23547708423880043
0.4649557127312894,0.005641784742659775,0.23524961571229017
0.471238898038469,0.005789442932867765,0.23501928009030487
0.4775220833456486,0.005938768012274398,0.23478608646610047
0.4838052686528282,0.006089747477244216,0.23455004404576196
0.4900884539600078,0.0062423686652654095,0.23431116214783995
0.49637163926718736,0.00639661875522467,0.23406945020298267
0.5026548245743669,0.0065524847676863215,0.2338249177535639
0.5089380098815465,0.006709953565175759,0.23357757445330599
0.5152211951887261,0.006869011852467292,0.23332743006689896
0.5215043804959056,0.007029646176876329,0.2330744944696148
0.5277875658030853,0.007191842928556064,0.23281877764691786
0.5340707511102648,0.0073555883407985904,0.23256028969407042
0.5403539364174444,0.007520868490340591,0.23229904081573424
0.5466371217246241,0.007687669297673549,0.23203504132556774
0.5529203070318036,0.00785597652735862,0.2317683016458187
0.5592034923389833,0.008025775788346139,0.231498832306913
0.5654866776461628,0.008197052534299861,0.23122664394703873
0.5717698629533424,0.008369792063925924,0.23095174731172624
0.578053048260522,0.008543979521306673,0.23067415325342402
0.5843362335677016,0.008719599896239327,0.23039387273107015
0.5906194188748811,0.008896638024579543,0.23011091680965978
0.5969026041820608,0.009075078588590035,0.22982529665980814
0.6031857894892403,0.00925490611729411,0.2295370235573097
0.6094689747964199,0.009436104986834414,0.229246108882693
0.6157521601035995,0.009618659420836747,0.2289525641207712
0.6220353454107791,0.009802553490779176,0.22865640086018887
0.6283185307179586,0.009987771116366334,0.22835763079296448
0.6346017160251383,0.010174296065909168,0.22805626571402865
0.6408849013323178,0.010362111956710033,0.22775231752075872
0.6471680866394974,0.010551202255453319,0.22744579821250888
0.653451271946677,0.010741550278601601,0.22713671989013665
0.6597344572538566,0.010933139192797484,0.22682509475552481
0.6660176425610361,0.011125952015271083,0.22651093511110026
